database-frequency=0.16479275025562717
totalsites=484871165
1111111000001000101000010	155
0000001111000011111001011	4
1101110000110010111100000	21
0000000000011110001110100	372
0000011000101011111001000	25
0000011101111011101000000	97
0000000010111000000000111	1
0101011000101000011100010	4
0011010110101011100001000	34
0011000100110101100100001	89
0001001010010001101001000	36
1110000000000101000000000	34
1000000000000100000110101	38
1111101100100011100100000	4
1111111100001110110001001	21
1011110011100111101111110	22
1011100100000000000000010	303
0001011100111111111001101	5
1111110100111001101000000	3
0111110000101110101101110	2
1111101000000001110000010	69
0111010000001100111001010	41
1011111010000010000000010	35
0000000001010011000001000	62
1000110010100011100101010	6
1001111011100011101010000	37
1111110101111111011111111	97
0111111000010100101100000	46
1101100000011000101000011	5
0000111000110011011001011	63
1110101000000010010000000	54
1100000000000011110000100	62
1101111100110111111101111	435
0101100100011000101010001	50
0001100010011000001000100	32
1000000100100000111010011	2
0111101010101011101110011	10
0000100000110101101010111	30
0111110100000000100110101	2
1111110100111010101011011	19
0100000100011011110100001	1
0000011100000011101011100	240
1111000001000101101000010	4
0011000000101000101000010	47
0000001000000111101000010	75
1110000000100011111110111	40
0100000100100001000000000	1020
1100100100000000000010110	148
0101000000111001010100111	7
1111100000000000111100101	3
0111000000001000011011001	12
0100000010100001101111111	1
1000000100010010000000000	755
0000000001111000000100010	13
1011111000000011010110101	36
0111111000101010101011111	3
0000000000011000001001110	217
1000011100100010011011101	93
0111010100011000111100001	11
0001101100110111111001011	1
0000011110000011101011100	54
0110100100111000000100101	39
0101010000110010101100011	2
0011000100001000010000001	11
0011111100100110101100001	21
1100110000010000000010001	35
0100000100000001111100010	12
1111100100001011001011101	19
1101000000100000111110010	2
0110111000001000100100000	101
1101100100101001111111101	6
0001100100000011101000000	85
0000011101111111001011111	19
0111011110100011111011101	10
0100000100101011101001000	28
0101101000110001111010000	10
0000000101000111111001011	10
0011111110111111111110101	23
1111111000101011100100001	4
0010000000100111010000010	9
1110111100011001000100101	114
0100000000010000000001011	78
0000011001000000010101000	44
0000000110111010001000001	381
1110100100100111111101111	18
0111100001111101101000000	19
0101001111111111101100011	67
0000011100000110100000010	66
0000000011110001010000001	12
0100001111100111000000000	15
0000110100111000000001101	29
1100011000001011111000000	37
1100110000011000010010001	48
0001100000011001011100011	1
1110111001000000111101100	10
